,,,,,,,
,,,,,,,
작성자,,프로젝트명,,,,,
최초 작성일,24.4.1,최종 수정일,,,,,
,,,,,,,
,기능,상세 요구 사항,,,,필요 H/W,대상자
하동,가상배기음 출력,YOLOv4를 사용하여 보행자 Detecting(외부 가상배기음),,,,카메라센서,"초보, 중급"
,,가변 저항 값에 따른 현재 차량 속도 조절(외부 가상배기음),,,,가변 저항,"초보, 중급, 숙련"
,,현재 차량 속도가 특정 속도 이상이고 보행자가 검출됐을 시 외부 경고음 출력(외부 가상배기음),,,,스피커,"초보, 중급, 숙련"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
지훈,차량 끼어들기 안내 음성 출력,초음파 센서로 주변 차량과의 거리 측정,,,,초음파센서 2개,초보
,,,,,,,중급
,,,,,,,X
,,"운정 등급,거리 측정 값, 현재 속도에 따라 안내 음성 출력",,,,스피커,초보(현재 속도 80이하)
,,,,,,,중급(현재속도 50 이하)
,,,,,,,X
보류,외부 소리 감지 시 내부 음악 레벨 조절,소리 감지 센서로 외부 소리 측정 후 데이터 값,,,,아날로그 소리 감지 센서,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
민지,운전자 탑승 시 시작 안내 음성 출력,압력 감지 센서를 통해 운전자가 착석하였는지 판단 -> 착석한 경우에만 안내 실행,,,,압력센서,"초급자, 중급자, 숙련자"
,,"OpenWeatherMap의 API를 사용하여 지정된 위치의 날씨 정보 받아와, 오전 오후 날씨 안내 및 비, 눈 예보 시간 안내",,,,스피커,
,,시동이 꺼져있는 동안 차 외부에 가해지는 충격을 감지하고 횟수를 카운트하여 운전자에게 충격 감지 횟수 안내,,,,충격감지센서,
,,차량 내부 온습도 측정 후 현재 차량 내부의 온도와 습도 안내,,,,온습도센서,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
찬찬,차량 내부 환경 안내 음성 출력,아기나 반려동물이 차 안에 혼자 있을 때 온습도가 지나치게 높아지면 외부로 알림 ,,,,"온습도센서, 압력센서","초급자, 중급자, 숙련자"
,,압력 센서 값이 0 & 처음 음성으로 운전자에게 정보를 알려줬을 때의 온습도 측정 값을 저장하여 저장한 초기 측정 값과 비교하여 값의 변화가 있으면 음성으로 차량에 누군가 있다고 알려줌,,,,"온습도센서, 압력센서","초급자, 중급자, 숙련자"
,,차량 내부의 온도가 지나치게 높거나 낮아졌을 때 음성으로 공조 장치 실행이 필요함을 알려줌,,,,,